,f,p,r
satellite garmin nuvi 255W gps,0.07792207529094292,0.046153846153846156,0.25
screen garmin nuvi 255W gps,0.22950819256113955,0.16279069767441862,0.3888888888888889
screen garmin nuvi 255W gps,0.10526315418898136,0.06976744186046512,0.21428571428571427
screen garmin nuvi 255W gps,0.16666666260555565,0.11627906976744186,0.29411764705882354
screen garmin nuvi 255W gps,0.2545454511338844,0.16279069767441862,0.5833333333333334
screen garmin nuvi 255W gps,0.10526315418898136,0.06976744186046512,0.21428571428571427
screen ipod nano 8gb,0.1403508747799323,0.08163265306122448,0.5
screen ipod nano 8gb,0.2622950788067724,0.16326530612244897,0.6666666666666666
screen ipod nano 8gb,0.09374999641113295,0.061224489795918366,0.2
screen ipod nano 8gb,0.34374999641113285,0.22448979591836735,0.7333333333333333
screen netbook 1005ha,0.0983606520290246,0.06521739130434782,0.2
screen netbook 1005ha,0.10714285420918375,0.06521739130434782,0.3
screen netbook 1005ha,0.11111110858710567,0.06521739130434782,0.375
screen netbook 1005ha,0.11594202454106296,0.08695652173913043,0.17391304347826086
seats honda accord 2008,0.11428571075918378,0.07407407407407407,0.25
seats honda accord 2008,0.21917807834115224,0.14814814814814814,0.42105263157894735
seats honda accord 2008,0.17391304007561445,0.1111111111111111,0.4
seats honda accord 2008,0.2368421011495845,0.16666666666666666,0.4090909090909091
seats honda accord 2008,0.228571425044898,0.14814814814814814,0.5
service bestwestern hotel sfo,0.15094339252403,0.1,0.3076923076923077
service bestwestern hotel sfo,0.28571428271553523,0.175,0.7777777777777778
service bestwestern hotel sfo,0.15999999680000007,0.1,0.4
service bestwestern hotel sfo,0.3809523763164525,0.3,0.5217391304347826
service bestwestern hotel sfo,0.22222221758629387,0.175,0.30434782608695654
service holiday inn london,0.17391304099979,0.1016949152542373,0.6
service holiday inn london,0.16216215892987587,0.1016949152542373,0.4
service holiday inn london,0.08955223670305197,0.05084745762711865,0.375
service holiday inn london,0.14285714020816329,0.0847457627118644,0.45454545454545453
service swissotel hotel chicago,0.19999999615200006,0.13513513513513514,0.38461538461538464
service swissotel hotel chicago,0.1509433920113921,0.10810810810810811,0.25
service swissotel hotel chicago,0.12244897589337787,0.08108108108108109,0.25
service swissotel hotel chicago,0.07843136856593638,0.05405405405405406,0.14285714285714285
size asus netbook 1005ha,0.22988505347602067,0.15873015873015872,0.4166666666666667
size asus netbook 1005ha,0.16216215963111763,0.09523809523809523,0.5454545454545454
size asus netbook 1005ha,0.26190475815476194,0.1746031746031746,0.5238095238095238
size asus netbook 1005ha,0.24691357679012346,0.15873015873015872,0.5555555555555556
size asus netbook 1005ha,0.24719100710011369,0.1746031746031746,0.4230769230769231
sound ipod nano 8gb,0.15873015584782063,0.09615384615384616,0.45454545454545453
sound ipod nano 8gb,0.16129031987513012,0.09615384615384616,0.5
sound ipod nano 8gb,0.10909090805950415,0.057692307692307696,1.0
sound ipod nano 8gb,0.14705881993079595,0.09615384615384616,0.3125
sound ipod nano 8gb,0.10169491316288427,0.057692307692307696,0.42857142857142855
speed garmin nuvi 255W gps,0.1194029819469816,0.07407407407407407,0.3076923076923077
speed garmin nuvi 255W gps,0.2058823496712803,0.12962962962962962,0.5
speed garmin nuvi 255W gps,0.25641025214990143,0.18518518518518517,0.4166666666666667
speed garmin nuvi 255W gps,0.1194029819469816,0.07407407407407407,0.3076923076923077
speed garmin nuvi 255W gps,0.22535210903392186,0.14814814814814814,0.47058823529411764
speed windows7,0.11904761486678019,0.0847457627118644,0.2
speed windows7,0.2077922042098162,0.13559322033898305,0.4444444444444444
speed windows7,0.13513513190284887,0.0847457627118644,0.3333333333333333
speed windows7,0.20253164178817504,0.13559322033898305,0.4
speed windows7,0.19444444148533954,0.11864406779661017,0.5384615384615384
staff bestwestern hotel sfo,0.14545454410578515,0.0784313725490196,1.0
staff bestwestern hotel sfo,0.17910447397638676,0.11764705882352941,0.375
staff bestwestern hotel sfo,0.22950819398011293,0.13725490196078433,0.7
staff bestwestern hotel sfo,0.17910447397638676,0.11764705882352941,0.375
staff bestwestern hotel sfo,0.12903225514568165,0.0784313725490196,0.36363636363636365
staff swissotel chicago,0.15624999758300784,0.09090909090909091,0.5555555555555556
staff swissotel chicago,0.12903225606139437,0.07272727272727272,0.5714285714285714
staff swissotel chicago,0.1515151487373738,0.09090909090909091,0.45454545454545453
staff swissotel chicago,0.19999999570312507,0.14545454545454545,0.32
staff swissotel chicago,0.11764705573096892,0.07272727272727272,0.3076923076923077
transmission toyota camry 2007,0.08219177845749677,0.047619047619047616,0.3
transmission toyota camry 2007,0.08219177845749677,0.047619047619047616,0.3
transmission toyota camry 2007,0.11111110892361115,0.06349206349206349,0.4444444444444444
transmission toyota camry 2007,0.224999996653125,0.14285714285714285,0.5294117647058824
transmission toyota camry 2007,0.0810810785500366,0.047619047619047616,0.2727272727272727
updates garmin nuvi 255W gps,0.27450979935409464,0.21212121212121213,0.3888888888888889
updates garmin nuvi 255W gps,0.054054052125639226,0.030303030303030304,0.25
updates garmin nuvi 255W gps,0.18823529064636685,0.12121212121212122,0.42105263157894735
video ipod nano 8gb,0.1290322553590011,0.07692307692307693,0.4
video ipod nano 8gb,0.06896551538644476,0.038461538461538464,0.3333333333333333
video ipod nano 8gb,0.11594202527200181,0.07692307692307693,0.23529411764705882
video ipod nano 8gb,0.14084506650267817,0.09615384615384616,0.2631578947368421
video ipod nano 8gb,0.13698629727153325,0.09615384615384616,0.23809523809523808
voice garmin nuvi 255W gps,0.21333333083022224,0.125,0.7272727272727273
voice garmin nuvi 255W gps,0.13513513279766257,0.078125,0.5
voice garmin nuvi 255W gps,0.0999999968000001,0.0625,0.25
voice garmin nuvi 255W gps,0.08219177866016145,0.046875,0.3333333333333333
voice garmin nuvi 255W gps,0.16901408272961715,0.09375,0.8571428571428571
